ОКТМО,name

01000000000,Муниципальные образования Алтайского края
"01605151000,""Населенные пункты, входящие в состав городского поселения Благовещенский поссовет Благовещенского муниципального района"""
"01605157000,""Населенные пункты, входящие в состав городского поселения Степноозёрский поссовет Благовещенского муниципального района"""
01605400000,Сельские поселения Благовещенского муниципального района/
"01605406000,""Населенные пункты, входящие в состав сельского поселения Алексеевский сельсовет Благовещенского муниципального района"""
"01605420000,""Населенные пункты, входящие в состав сельского поселения Гляденьский сельсовет Благовещенского муниципального района"""
"01605436000,""Населенные пункты, входящие в состав сельского поселения Леньковский сельсовет Благовещенского муниципального района"""
"01605447000,""Населенные пункты, входящие в состав сельского поселения Нижнекучукский сельсовет Благовещенского муниципального района"""
"01605452000,""Населенные пункты, входящие в состав сельского поселения Николаевский сельсовет Благовещенского муниципального района"""
"01605456000,""Населенные пункты, входящие в состав сельского поселения Новокулундинский сельсовет Благовещенского муниципального района"""
"01605461000,""Населенные пункты, входящие в состав сельского поселения Суворовский сельсовет Благовещенского муниципального района"""
"01605483000,""Населенные пункты, входящие в состав сельского поселения Шимолинский сельсовет Благовещенского муниципального района"""
"01605494000,""Населенные пункты, входящие в состав сельского поселения Яготинский сельсовет Благовещенского муниципального района"""
01606000000,Бурлинский муниципальный район
01606400000,Сельские поселения Бурлинского муниципального района/
"01606411000,""Населенные пункты, входящие в состав сельского поселения Бурлинский сельсовет Бурлинского муниципального района"""
"01606422000,""Населенные пункты, входящие в состав сельского поселения Михайловский сельсовет Бурлинского муниципального района"""
"01606430000,""Населенные пункты, входящие в состав сельского поселения Новоандреевский сельсовет Бурлинского муниципального района"""
"01606433000,""Населенные пункты, входящие в состав сельского поселения Новопесчанский сельсовет Бурлинского муниципального района"""
"01606444000,""Населенные пункты, входящие в состав сельского поселения Новосельский сельсовет Бурлинского муниципального района"""
"01606455000,""Населенные пункты, входящие в состав сельского поселения Ореховский сельсовет Бурлинского муниципального района"""
"01606466000,""Населенные пункты, входящие в состав сельского поселения Партизанский сельсовет Бурлинского муниципального района"""
"01606470000,""Населенные пункты, входящие в состав сельского поселения Рожковский сельсовет Бурлинского муниципального района"""
"01606477000,""Населенные пункты, входящие в состав сельского поселения Устьянский сельсовет Бурлинского муниципального района"""
01607000000,Быстроистокский муниципальный район
01607400000,Сельские поселения Быстроистокского муниципального района/
